,filename,mean,std,max,median,freq
0,пульс 116-90-Обрезка 01.MOV.csv,1.5449630589513383,12.867878502691426,2.3869108535242765,1.5449630589513383,1.0
0,пульс 116-90-Обрезка 06.MOV.csv,1.5449630589513383,12.867878502691426,2.3869108535242765,1.5449630589513383,1.0
0,пульс 116-90-Обрезка 05.MOV.csv,1.5068177851128535,11.138350557040082,2.2704998375324057,1.5068177851128535,1.0
0,пульс 116-90-Обрезка 20.MOV.csv,1.8682459574322223,38.540588291221724,3.4903429574618414,1.8682459574322223,1.0
0,пульс 116-90-Обрезка 10.MOV.csv,1.5372575235482815,12.501719415179227,2.3631606937057947,1.5372575235482815,1.0
0,пульс 116-90-Обрезка 15.MOV.csv,1.5068177851128535,11.138350557040082,2.2704998375324057,1.5068177851128535,1.0
0,пульс 116-90-Обрезка 09.MOV.csv,1.4696143214411443,9.641279603106932,2.159766253784915,1.4696143214411443,1.0
0,пульс 116-90-Обрезка 19.MOV.csv,2.3396468519259908,141.28194698447405,5.4739473917272,2.3396468519259908,1.0
0,delts3.csv,2.572813378588326,244.50661702865483,6.619368681043077,2.572813378588326,1.0
0,пульс 116-90-Обрезка 07.MOV.csv,1.5068177851128535,11.138350557040082,2.2704998375324057,1.5068177851128535,1.0
0,пульс 116-90-Обрезка 17.MOV.csv,1.4333294145603401,8.34542216069023,2.0544332106438876,1.4333294145603401,1.0
0,пульс 116-90-Обрезка 11.MOV.csv,1.552707218511336,13.244761775303902,2.4108997064172097,1.552707218511336,1.0
0,пульс 116-90-Обрезка 12.MOV.csv,1.5068177851128535,11.138350557040082,2.2704998375324057,1.5068177851128535,1.0
0,пульс 116-90-Обрезка 04.MOV.csv,1.499302500056767,10.821405045826813,2.2479079866764717,1.499302500056767,1.0
0,пульс 116-90-Обрезка 13.MOV.csv,1.5068177851128535,11.138350557040082,2.2704998375324057,1.5068177851128535,1.0
0,пульс 116-90-Обрезка 14.MOV.csv,1.5449630589513383,12.867878502691426,2.3869108535242765,1.5449630589513383,1.0
0,пульс 116-90-Обрезка 18.MOV.csv,1.4696143214411443,9.641279603106932,2.159766253784915,1.4696143214411443,1.0
0,пульс 116-90-Обрезка 02.MOV.csv,1.5143707406920481,11.46457886641464,2.2933187402641826,1.5143707406920481,1.0
0,спокойное дыхание пульс 90-Обрезка 14.MOV.csv,1.5219615556186337,11.800361852384642,2.3163669767810915,1.5219615556186337,0.0
0,спокойное дыхание пульс 90-Обрезка 15.MOV.csv,1.5219615556186337,11.800361852384642,2.3163669767810915,1.5219615556186337,0.0
0,спокойное дыхание пульс 90-Обрезка 21.MOV.csv,1.5219615556186337,11.800361852384642,2.3163669767810915,1.5219615556186337,0.0
0,спокойное дыхание пульс 90-Обрезка 02.MOV.csv,1.5604901958326667,13.632683327064894,2.4351296512898744,1.5604901958326667,0.0
0,спокойное дыхание пульс 90-Обрезка 12.MOV.csv,1.5219615556186337,11.800361852384642,2.3163669767810915,1.5219615556186337,0.0
0,спокойное дыхание пульс 90-Обрезка 03.MOV.csv,1.5143707406920481,11.46457886641464,2.2933187402641826,1.5143707406920481,0.0
0,спокойное дыхание пульс 90-Обрезка 17.MOV.csv,1.5219615556186337,11.800361852384642,2.3163669767810915,1.5219615556186337,0.0
0,спокойное дыхание пульс 90-Обрезка 22.MOV.csv,1.5219615556186337,11.800361852384642,2.3163669767810915,1.5219615556186337,0.0
0,спокойное дыхание пульс 90-Обрезка 09.MOV.csv,1.5219615556186337,11.800361852384642,2.3163669767810915,1.5219615556186337,0.0
0,спокойное дыхание пульс 90-Обрезка 20.MOV.csv,1.5219615556186337,11.800361852384642,2.3163669767810915,1.5219615556186337,0.0
0,спокойное дыхание пульс 90-Обрезка 18.MOV.csv,1.5219615556186337,11.800361852384642,2.3163669767810915,1.5219615556186337,0.0
0,спокойное дыхание пульс 90-Обрезка 11.MOV.csv,1.5219615556186337,11.800361852384642,2.3163669767810915,1.5219615556186337,0.0
0,спокойное дыхание пульс 90-Обрезка 04.MOV.csv,1.5143707406920481,11.46457886641464,2.2933187402641826,1.5143707406920481,0.0
0,спокойное дыхание пульс 90-Обрезка 05.MOV.csv,1.5068177851128535,11.138350557040082,2.2704998375324057,1.5068177851128535,0.0
0,спокойное дыхание пульс 90-Обрезка 06.MOV.csv,1.5219615556186337,11.800361852384642,2.3163669767810915,1.5219615556186337,0.0
0,спокойное дыхание пульс 90-Обрезка 19.MOV.csv,1.5219615556186337,11.800361852384642,2.3163669767810915,1.5219615556186337,0.0
0,спокойное дыхание пульс 90-Обрезка 07.MOV.csv,1.5219615556186337,11.800361852384642,2.3163669767810915,1.5219615556186337,0.0
0,спокойное дыхание пульс 90-Обрезка 13.MOV.csv,1.5219615556186337,11.800361852384642,2.3163669767810915,1.5219615556186337,0.0
0,спокойное дыхание пульс 90-Обрезка 16.MOV.csv,1.5219615556186337,11.800361852384642,2.3163669767810915,1.5219615556186337,0.0
0,пульс 160-150 4 шаблон-Обрезка 10.MOV.csv,1.499302500056767,10.821405045826813,2.2479079866764717,1.499302500056767,2.0
0,пульс 160-150 4 шаблон-Обрезка 02.MOV.csv,1.499302500056767,10.821405045826813,2.2479079866764717,1.499302500056767,2.0
0,пульс 160-150 4 шаблон-Обрезка 05.MOV.csv,1.4843841909209141,10.214313365209685,2.203396426255937,1.4843841909209141,2.0
0,пульс 160-150 4 шаблон-Обрезка 16.MOV.csv,1.5143707406920481,11.46457886641464,2.2933187402641826,1.5143707406920481,2.0
